p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
4.2137932826610194e-51,2.6704819085142373,0.465,0.08,5.431579541350054e-47,8,Vav3
4.610650157895434e-50,3.6186346829032043,0.32,0.035,5.943128053527214e-46,8,Ptpn3
1.0606214102684387e-47,3.627604933751934,0.267,0.023,1.3671409978360175e-43,8,Cpne9
4.165879893150408e-47,2.302094187375122,0.622,0.168,5.3698191822708756e-43,8,LOC120099885
3.002676698059856e-46,2.9621498050785178,0.349,0.047,3.8704502637991543e-42,8,Tmem163
4.344652565109775e-45,2.3382531727637454,0.558,0.136,5.6002571564265e-41,8,Plcb4
2.6939398850248047e-44,2.0905103978821087,0.616,0.165,3.4724885117969733e-40,8,Tox
7.655226982787996e-44,1.8445716507234864,0.64,0.177,9.867587580813727e-40,8,Fgf13
3.1777483246483257e-43,2.000754029700529,0.709,0.247,4.096117590471692e-39,8,Gpc5
5.954434666383189e-41,3.082331073323447,0.297,0.037,7.67526628496793e-37,8,Phactr2
6.393155998442233e-38,1.1909328073016692,0.959,0.668,8.240778081992039e-34,8,Ralyl
2.030304830149586e-37,2.001773342398081,0.535,0.146,2.617062926062816e-33,8,LOC120096504
5.38972716963652e-52,2.5317235402691156,0.765,0.237,6.947358321661474e-48,3,Sox5
3.6012374531717825e-51,3.1580236728873006,0.831,0.38,4.641995077138428e-47,3,Hdac9
2.1158910807891003e-45,2.7004260040083152,0.618,0.15,2.7273836031371505e-41,3,Arhgap6
9.49825016416081e-36,2.4571754898524594,0.551,0.149,1.2243244461603284e-31,3,Tmcc3
1.9873211458024874e-35,2.132574710003486,0.669,0.238,2.5616569569394063e-31,3,Pde7b
1.1900233401612356e-31,2.3230615513813455,0.537,0.157,1.5339400854678327e-27,3,Ankfn1
1.0356126159704622e-26,1.0555209649905883,0.949,0.726,1.3349046619859259e-22,3,Gria1
1.0588914089701775e-24,1.8860056315634843,0.61,0.248,1.3649110261625587e-20,3,Dock10
1.1841986627325163e-21,0.6483030301843158,1,0.947,1.5264320762622137e-17,3,Rbfox1
7.283358406254361e-21,2.256426003199694,0.39,0.116,9.388248985661872e-17,3,Ptpro
3.4081636967823773e-19,2.2513092175352973,0.412,0.141,4.3931230051524846e-15,3,Vat1l
