p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.0661156189509966e-10,0.71423671601702865,0.5,0.257,1.3742230328278345e-6,7,Atp2b1
1.2903215011288643e-10,0.860157484930266,0.271,0.105,1.6632244149551062e-6,7,Syndig1
1.4076726314029908e-10,0.4869858889060821,0.523,0.258,1.8144900218784552e-6,7,Rapgef4
1.7378299060749134e-10,0.5583359730380829,0.266,0.102,2.2400627489305634e-6,7,Nfib
2.094923129003076e-10,0.5664273538156741,0.5,0.25,2.700355913284965e-6,7,R3hdm1
2.2164607738237583e-10,0.4987132327542545,0.762,0.466,2.8570179374588243e-6,7,Pbx1
2.3664376520383637e-10,0.5371586823088823,0.421,0.192,3.050338133477451e-6,7,Gucy1a2
3.1587934079354606e-10,0.45991850456188565,0.916,0.752,4.071684702828808e-6,7,Lrp1b
4.0061456743782916e-10,0.5049960371296256,0.383,0.17,5.163921774273618e-6,7,Galnt18
4.1832323253380417e-10,1.0106510760776861,0.294,0.124,5.392186467360736e-6,7,Flrt2
4.673766498179827e-10,0.6137396592439401,0.682,0.411,6.024485016153797e-6,7,Ntrk3
4.683282508001669e-10,0.4569998853072583,0.818,0.525,6.036751152814151e-6,7,Tnr
4.919391017549696e-10,0.6672714993358073,0.36,0.162,6.3410950216215585e-6,7,Itpr1
5.472497502942531e-10,0.3806752368556623,0.958,0.73,7.054049281292923e-6,7,Cadm2
5.537772168227967e-10,0.7232563478428444,0.271,0.107,7.13818832484585e-6,7,Abl2
5.834454188230088e-10,0.6219274273840307,0.346,0.154,7.520611448628584e-6,7,Ano3
7.236082954627382e-10,0.3929918988652661,0.949,0.771,9.327310928514695e-6,7,Nalf1
7.687433100249113e-10,0.5660856331597219,0.369,0.165,9.909101266221106e-6,7,Ankh
8.468871436982113e-10,0.6788305155483801,0.257,0.1,1.0916375282269944e-5,7,Atp11b
1.1116292646321854e-9,0.49877725576918985,0.463,0.225,1.432890122110887e-5,7,Dmxl2
1.1393896212174454e-9,0.49881362188017464,0.617,0.351,1.468673221749287e-5,7,Gpc6
1.6294075081532237e-9,0.42532906253228786,0.407,0.188,2.1003062780095052e-5,7,Jmjd1c
1.7245066562007932e-9,0.462524162368557,0.537,0.279,2.2228890798428224e-5,7,Cyfip2
1.91974318028951e-9,0.5150924780485351,0.575,0.316,2.4745489593931783e-5,7,Rabgap1l
2.0287128004770944e-9,0.46344920400818346,0.435,0.211,2.6150107998149745e-5,7,Sh3rf3
2.1579949822055764e-9,0.6445628409678333,0.299,0.129,2.781655532062988e-5,7,RGD1306271
2.1884535635937196e-9,0.5427990505552496,0.336,0.15,2.8209166434723046e-5,7,Cdkl5
2.4577494367555943e-9,0.3660751079681326,0.963,0.836,3.168039023977961e-5,7,Adgrb3
2.5274424657878356e-9,0.3827144648748604,0.888,0.662,3.25787333840052e-5,7,Schip1
3.042022571179348e-9,0.5067034129550392,0.332,0.147,3.9211670942501794e-5,7,Immp2l
3.869138068253666e-9,0.3855834397156286,0.43,0.206,4.987318969978975e-5,7,Ablim1
5.005479553107639e-9,0.47186817698906003,0.439,0.215,6.452063143955746e-5,7,Kcnj3
5.4175405251042e-9,0.6357470078985745,0.341,0.158,6.983209736859315e-5,7,Rock2
5.695674697212301e-9,0.5317030858724721,0.397,0.194,7.341724684706656e-5,7,Cdh10
7.042740439851367e-9,0.40422487761288695,0.631,0.348,9.078092426968413e-5,7,Hcn1
7.584976605367672e-9,0.34875981627090713,0.537,0.278,9.777034844318928e-5,7,Shank2
8.217134946995198e-9,0.5634460795482024,0.393,0.191,1.059188694667681e-4,7,Plxna2
8.359550238067544e-9,0.4425374871157457,0.841,0.559,1.0775460256869064e-4,7,Xkr4
8.641173623455489e-9,0.417983966168876,0.477,0.247,1.1138472800634125e-4,7,LOC120095249
1.2152765584052932e-8,0.6359138057545148,0.262,0.11,1.566491483784423e-4,7,Fnbp1l
1.3919257425004682e-8,0.4930807561357753,0.607,0.34,1.7941922820831035e-4,7,Hecw1
1.528808703974211e-8,0.4544712764149583,0.346,0.161,1.970634419422758e-4,7,Xylt1
1.5367230022022852e-8,0.7182369063289665,0.266,0.114,1.9808359498387455e-4,7,Dgkh
1.6625948864155228e-8,0.5786340623449944,0.271,0.115,2.1430848085896088e-4,7,Iqsec2
1.7374976213547542e-8,0.4445374675420952,0.463,0.241,2.239634433926278e-4,7,Cpeb4
1.7909806716298127e-8,0.3261424763077474,0.477,0.237,2.3085740857308287e-4,7,Adcy2
