barcode,technical_well,seurat_cluster_raw,seurat_tree_cluster,seurat_cluster_legacy_res_1_5,provisional_annotation,nCount_RNA,nFeature_RNA,percent.mt,scanpy_cluster
48_31_31,D12,0,6,2,Unresolved,784,573,0.6377551020408163,4
48_31_41,D12,0,6,1,Unresolved,635,482,0.47244094488188976,2
48_31_48,D12,2,7,10,Excitatory_neuron,2677,1382,0.1867762420620097,3
48_31_54,D12,1,5,1,Unresolved,1589,988,0.5034612964128383,2
48_32_01,D12,1,5,1,Unresolved,785,560,0.12738853503184713,2
48_32_36,D12,4,1,4,Unresolved,1073,754,0.27958993476234856,2
48_32_82,D12,0,6,0,Unresolved,518,415,0.7722007722007722,1
48_32_96,D12,0,6,0,Unresolved,674,518,0.741839762611276,1
48_33_22,D12,3,8,3,Unresolved,1331,829,0.30052592036063114,5
48_33_31,D12,2,7,5,Excitatory_neuron,2945,1637,0.10186757215619693,3
48_33_52,D12,1,5,7,Unresolved,1631,949,0.1226241569589209,2
48_33_54,D12,6,4,8,Inhibitory_neuron,494,381,0.4048582995951417,6
48_33_64,D12,5,3,6,Unresolved,820,586,0.7317073170731708,7
48_33_65,D12,2,7,10,Excitatory_neuron,1724,1062,0.23201856148491878,3
48_33_76,D12,0,6,2,Unresolved,1298,857,0.46224961479198773,1
48_33_93,D12,4,1,4,Unresolved,1054,733,0.47438330170777987,4
48_34_16,D12,3,8,3,Unresolved,1053,692,0.0949667616334283,5
48_34_47,D12,3,8,3,Unresolved,1124,765,0.1779359430604982,1
48_34_49,D12,3,8,3,Unresolved,2234,1214,0.044762757385854966,5
48_34_61,D12,1,5,1,Unresolved,755,540,0.13245033112582782,1
48_34_84,D12,0,6,2,Unresolved,1157,719,0.864304235090752,1
48_34_96,D12,1,5,7,Unresolved,591,429,0.338409475465313,8
48_35_14,D12,4,1,4,Unresolved,2644,1539,0.037821482602118005,4
48_35_34,D12,5,3,6,Unresolved,797,599,1.0037641154328731,7
48_35_35,D12,0,6,0,Unresolved,454,364,0.4405286343612335,1
48_35_36,D12,0,6,0,Unresolved,653,504,0,1
48_35_44,D12,2,7,5,Excitatory_neuron,1987,1095,0.20130850528434827,3
48_35_50,D12,0,6,0,Unresolved,492,374,0.8130081300813009,5
48_35_62,D12,1,5,1,Unresolved,1060,727,0.2830188679245283,2
48_35_72,D12,1,5,7,Unresolved,1246,798,0.32102728731942215,2
48_35_79,D12,2,7,10,Excitatory_neuron,2036,1131,0.2455795677799607,3
48_35_87,D12,1,5,1,Unresolved,1743,1043,0.11474469305794606,2
48_35_93,D12,4,1,4,Unresolved,462,379,0.6493506493506493,4
48_35_94,D12,2,7,5,Excitatory_neuron,1628,939,0.18427518427518427,3
48_36_43,D12,4,1,4,Unresolved,397,332,2.518891687657431,2
48_36_61,D12,0,6,0,Unresolved,732,548,0.6830601092896175,1
48_36_93,D12,2,7,10,Excitatory_neuron,1173,714,0.17050298380221654,3
48_37_30,D12,7,2,9,Inhibitory_neuron,1355,866,0.22140221402214022,8
48_37_82,D12,0,6,0,Unresolved,712,517,0,1
48_38_06,D12,0,6,0,Unresolved,350,300,1.1428571428571428,1
48_38_08,D12,0,6,1,Unresolved,378,310,0.7936507936507936,2
48_38_26,D12,0,6,2,Unresolved,788,570,0.25380710659898476,1
48_38_93,D12,0,6,2,Unresolved,705,499,0,1
48_39_41,D12,0,6,2,Unresolved,728,550,0.5494505494505495,1
48_39_54,D12,4,1,4,Unresolved,662,522,0.6042296072507553,4
48_39_63,D12,0,6,2,Unresolved,912,678,0.3289473684210526,1
48_39_64,D12,0,6,2,Unresolved,1030,752,0.1941747572815534,1
48_39_69,D12,1,5,1,Unresolved,722,502,0.554016620498615,2
48_39_76,D12,1,5,1,Unresolved,1270,822,0.47244094488188976,1
48_39_90,D12,0,6,2,Unresolved,924,668,0.3246753246753247,1
48_40_03,D12,0,6,2,Unresolved,807,570,1.982651796778191,1
48_40_09,D12,3,8,3,Unresolved,1731,1063,0.462160600808781,5
48_40_15,D12,1,5,1,Unresolved,1346,908,0.07429420505200594,7
48_40_19,D12,5,3,6,Unresolved,928,621,0.646551724137931,7
48_40_23,D12,1,5,7,Unresolved,930,614,0.43010752688172044,2
48_40_33,D12,2,7,10,Excitatory_neuron,2483,1297,0.20136931131695532,3
48_40_47,D12,1,5,1,Unresolved,1288,800,0.15527950310559005,2
48_40_58,D12,3,8,3,Unresolved,588,411,0.17006802721088435,5
48_40_77,D12,5,3,6,Unresolved,1093,728,0,7
48_40_83,D12,4,1,4,Unresolved,1352,987,0.7396449704142012,4
48_40_93,D12,0,6,0,Unresolved,955,670,0.6282722513089005,2
48_41_32,D12,3,8,3,Unresolved,692,501,0.8670520231213872,1
48_41_35,D12,0,6,0,Unresolved,454,350,0.22026431718061676,1
48_41_39,D12,0,6,0,Unresolved,587,459,0.34071550255536626,1
48_41_59,D12,0,6,2,Unresolved,1382,925,0.5788712011577424,1
48_41_72,D12,1,5,7,Unresolved,661,490,0.15128593040847202,1
48_42_05,D12,2,7,10,Excitatory_neuron,1420,825,0.14084507042253522,3
48_42_22,D12,3,8,3,Unresolved,898,660,0.22271714922048996,5
48_42_48,D12,0,6,0,Unresolved,579,447,0,1
48_42_52,D12,0,6,2,Unresolved,1617,1066,0.3710575139146568,4
48_42_92,D12,0,6,2,Unresolved,768,530,0.13020833333333331,1
48_42_94,D12,1,5,1,Unresolved,1116,804,0.4480286738351254,1
48_43_09,D12,5,3,6,Unresolved,460,366,0.21739130434782608,7
48_43_18,D12,3,8,3,Unresolved,503,380,0.19880715705765406,5
48_43_55,D12,3,8,3,Unresolved,1051,711,0.47573739295908657,5
48_43_67,D12,0,6,0,Unresolved,634,470,0.15772870662460567,1
48_43_73,D12,0,6,2,Unresolved,890,648,0.33707865168539325,4
48_43_83,D12,5,3,6,Unresolved,899,675,0.33370411568409347,4
48_43_84,D12,0,6,2,Unresolved,722,561,0.9695290858725761,1
